This is crash.log for uploading-log-feature test.
07-23 18:19:35.425 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.429 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.434 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.435 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.437 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.438 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.441 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.445 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.445 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.445 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.446 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.450 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.455 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.456 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.456 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
07-23 18:19:35.456 356-356 W/auditd: type=1400 "magisk.bin"006344373133556255367974303654557232556159366E7A596338633967503375
